store_id,name_food,link_food,score_food,comment,collect,point,phone,location,price
17008302,風星,https://tabelog.com/ishikawa/A1701/A170101/17008302/,3.17,27,290.0,16.011968679381738,076-255-3007,石川県金沢市駅西新町1-39-5,1000.0
17014074,士朗商店,https://tabelog.com/ishikawa/A1701/A170101/17014074/,3.41,49,730.0,18.10884106626355,不明の為情報お待ちしております,石川県金沢市旭町2-8-45,999.0
17008924,李家楼,https://tabelog.com/ishikawa/A1701/A170101/17008924/,3.08,29,433.0,16.31448139209499,076-247-7738,石川県金沢市米泉1-77-1,1000.0
17005647,８番らーめん 古府南店,https://tabelog.com/ishikawa/A1701/A170101/17005647/,3.03,26,139.0,14.9566466618145,076-240-4488,石川県金沢市古府1-116,
17012972,相撲茶屋 玄海,https://tabelog.com/ishikawa/A1701/A170101/17012972/,3.18,12,280.0,15.076293898287592,076-296-1369,石川県金沢市光が丘1-124,2000.0
17007048,石川県職員互助会食堂,https://tabelog.com/ishikawa/A1701/A170101/17007048/,3.09,23,202.0,15.306870575459321,076-225-1250,石川県金沢市鞍月1-1 石川県庁舎 2F,
17009278,大野湊食堂,https://tabelog.com/ishikawa/A1701/A170101/17009278/,3.35,73,5273.0,20.435422478758234,090-8262-5661,石川県金沢市大野町4-125,
17010786,麺屋 大河 高柳店,https://tabelog.com/ishikawa/A1701/A170101/17010786/,3.5,160,2150.0,20.771373367249087,076-252-7773,石川県金沢市高柳町2-15-1,999.0
17009817,中華そば 桜三四郎,https://tabelog.com/ishikawa/A1701/A170101/17009817/,3.06,25,368.0,15.940512489666308,076-298-0346,石川県金沢市高尾南3-7,999.0
17010826,炭火焼肉 康,https://tabelog.com/ishikawa/A1701/A170101/17010826/,3.19,25,636.0,16.74648550119794,076-287-3299,石川県金沢市泉本町5-81-3,3000.0
17010132,豚蔵 せせらぎ通り店,https://tabelog.com/ishikawa/A1701/A170101/17010132/,3.27,86,1164.0,18.9595661083853,076-221-0125,石川県金沢市長町1-1-61,999.0
17014375,麺屋 こうすけ 金沢新保本店,https://tabelog.com/ishikawa/A1701/A170101/17014375/,3.38,54,688.0,18.104041093292622,076-227-8007,石川県金沢市新保本3-155,1000.0
17014231,あぶら屋,https://tabelog.com/ishikawa/A1701/A170101/17014231/,3.07,13,341.0,15.141679532600914,不明の為情報お待ちしております,石川県金沢市彦三町2-1-10 真和ビル B1F,
17011364,めんや 安寿,https://tabelog.com/ishikawa/A1701/A170101/17011364/,3.45,84,2036.0,19.850414924015187,不明の為情報お待ちしております,石川県金沢市畝田中2-98,
17014327,虎と龍 金沢中央卸売市場店,https://tabelog.com/ishikawa/A1701/A170101/17014327/,3.07,21,197.0,15.137517974724513,不明の為情報お待ちしております,石川県金沢市西念4-14-8,
17002581,チュー 白菊町店,https://tabelog.com/ishikawa/A1701/A170101/17002581/,3.15,31,658.0,16.94960661786218,076-241-6776,石川県金沢市白菊町2-12,
17010441,伝説のすた丼屋 金沢大河端店,https://tabelog.com/ishikawa/A1701/A170101/17010441/,3.05,42,436.0,16.693373333927866,076-255-3939,石川県金沢市大河端西1-33-2,999.0
17007507,麺屋大河,https://tabelog.com/ishikawa/A1701/A170101/17007507/,3.73,2031,47988.0,27.378858067398717,076-260-7737,石川県金沢市堀川町6-3,1000.0
17010608,中華そば大勝,https://tabelog.com/ishikawa/A1701/A170101/17010608/,3.25,47,567.0,17.487562631810622,076-262-0216,石川県金沢市もりの里1-202,1000.0
17001590,酔八仙,https://tabelog.com/ishikawa/A1701/A170101/17001590/,3.32,71,2161.0,19.45078834101842,076-221-9419,石川県金沢市片町2-2-25,4000.0
17001267,岩本屋 金沢駅西店,https://tabelog.com/ishikawa/A1701/A170101/17001267/,3.07,122,1076.0,18.89655590360329,076-234-3900,石川県金沢市二ツ屋町10-10,999.0
17001030,自家製麺 のぼる,https://tabelog.com/ishikawa/A1701/A170101/17001030/,3.57,356,12332.0,23.613316813701555,076-200-9397,石川県金沢市玉鉾1-177,
17014715,ラー麺 ずんどう屋 金沢駅西本町店,https://tabelog.com/ishikawa/A1701/A170101/17014715/,3.04,41,252.0,16.098593030667562,不明の為情報お待ちしております,石川県金沢市駅西本町5-2-17,1000.0
17006612,元喜家 金沢店,https://tabelog.com/ishikawa/A1701/A170101/17006612/,3.41,105,2054.0,20.044158039864815,076-296-2425,石川県金沢市大額3-256,999.0
17007809,丸源ラーメン 金沢横川店,https://tabelog.com/ishikawa/A1701/A170101/17007809/,3.04,69,563.0,17.51324854195729,076-259-6331,石川県金沢市横川7-38-1,999.0
17005646,８番らーめん 鞍月店,https://tabelog.com/ishikawa/A1701/A170101/17005646/,3.03,25,166.0,15.087709658042534,076-238-7805,石川県金沢市戸水1-80,1000.0
17012466,麺屋大河 金澤タンメン,https://tabelog.com/ishikawa/A1701/A170102/17012466/,3.22,42,497.0,17.16404021585693,不明の為情報お待ちしております,石川県河北郡津幡町字庄ホ32-1,
17013570,晴れのち時雨,https://tabelog.com/ishikawa/A1701/A170101/17013570/,3.45,94,1853.0,19.88975301604645,076-282-9218,石川県金沢市此花町8-15,1000.0
